,Mes,Casos,Codigo,Descricao
1,2014-02-28,593,5,10-14
2,2014-03-31,746,5,10-14
3,2014-04-30,1069,5,10-14
4,2014-05-31,784,5,10-14
5,2014-06-30,244,5,10-14
6,2014-07-31,73,5,10-14
7,2014-08-31,43,5,10-14
8,2014-09-30,61,5,10-14
9,2014-10-31,44,5,10-14
10,2014-11-30,79,5,10-14
11,2014-12-31,84,5,10-14
12,2015-01-31,338,5,10-14
13,2015-02-28,681,5,10-14
14,2015-03-31,2064,5,10-14
15,2015-04-30,4519,5,10-14
16,2015-05-31,3946,5,10-14
17,2015-06-30,1181,5,10-14
18,2015-07-31,246,5,10-14
19,2015-08-31,108,5,10-14
20,2015-09-30,76,5,10-14
21,2015-10-31,89,5,10-14
22,2015-11-30,307,5,10-14
23,2015-12-31,879,5,10-14
24,2016-01-31,3746,5,10-14
25,2016-02-29,9903,5,10-14
26,2016-03-31,11329,5,10-14
27,2016-04-30,8287,5,10-14
28,2016-05-31,2368,5,10-14
29,2016-06-30,313,5,10-14
30,2016-07-31,57,5,10-14
31,2016-08-31,43,5,10-14
32,2016-09-30,59,5,10-14
33,2016-10-31,77,5,10-14
34,2016-11-30,123,5,10-14
35,2016-12-31,253,5,10-14
36,2017-01-31,302,5,10-14
37,2017-02-28,303,5,10-14
38,2017-03-31,377,5,10-14
39,2017-04-30,245,5,10-14
40,2017-05-31,230,5,10-14
41,2017-06-30,108,5,10-14
42,2017-07-31,45,5,10-14
43,2017-08-31,42,5,10-14
44,2017-09-30,42,5,10-14
45,2017-10-31,51,5,10-14
46,2017-11-30,52,5,10-14
47,2017-12-31,66,5,10-14
48,2018-01-31,98,5,10-14
49,2018-02-28,122,5,10-14
50,2018-03-31,330,5,10-14
51,2018-04-30,518,5,10-14
52,2018-05-31,339,5,10-14
53,2018-06-30,110,5,10-14
54,2018-07-31,45,5,10-14
55,2018-08-31,34,5,10-14
56,2018-09-30,40,5,10-14
57,2018-10-31,75,5,10-14
58,2018-11-30,105,5,10-14
59,2018-12-31,179,5,10-14
60,2019-01-31,954,5,10-14
61,2019-02-28,2258,5,10-14
62,2019-03-31,5877,5,10-14
63,2019-04-30,10752,5,10-14
64,2019-05-31,11201,5,10-14
65,2019-06-30,2997,5,10-14
66,2019-07-31,404,5,10-14
67,2019-08-31,116,5,10-14
68,2019-09-30,108,5,10-14
69,2019-10-31,86,5,10-14
70,2019-11-30,119,5,10-14
71,2019-12-31,159,5,10-14
72,2020-01-31,488,5,10-14
73,2020-02-29,925,5,10-14
74,2020-03-31,1191,5,10-14
75,2020-04-30,1184,5,10-14
76,2020-05-31,744,5,10-14
77,2020-06-30,202,5,10-14
78,2020-07-31,94,5,10-14
79,2020-08-31,55,5,10-14
80,2020-09-30,33,5,10-14
81,2020-10-31,41,5,10-14
82,2020-11-30,49,5,10-14
83,2020-12-31,80,5,10-14
84,2021-01-31,93,5,10-14
85,2021-02-28,141,5,10-14
86,2021-03-31,222,5,10-14
