ANO;MES;MACRORREGIAO;PRECIPITACAO;PRESSAO_ATM;TEMPERATURA;UMIDADE_RELATIVA
2015;4;3111;0.1623859922756981;968.8309008148714;23.8562120681606;74.0
2015;4;3112;0.1431481481481481;921.2952777777778;22.340555555555557;76.0
2015;4;3113;0.1505555555555555;931.6202430555556;23.186527777777776;78.0
2015;4;3114;0.1341666666666666;952.9952777777778;23.52319444444444;77.0
2015;5;3101;0.0864247311827957;910.6295698924732;17.16394489247312;83.0
2015;5;3102;0.0830645161290322;901.3818996415772;17.06456093189964;81.0
2015;5;3103;0.075478501879181;913.3020748080912;18.805198674415568;77.0
2015;5;3104;0.0444892473118279;891.5891129032259;17.47197580645161;83.0
2015;5;3105;0.0594086021505376;927.079502688172;19.54133064516129;77.0
2015;5;3106;0.083391544059999;989.3938661065756;22.456726308165347;77.0
2015;5;3107;0.0950268817204301;949.2503360215052;18.945094086021506;83.0
2015;5;3108;0.0126507737213744;949.6905368027386;22.69293402442427;68.0
2015;5;3109;0.0581989247311827;923.745127688172;20.73665994623656;76.0
2015;5;3110;0.1108870967741935;932.326814516129;17.901276881720428;84.0
2015;5;3111;0.0612069791603623;971.2699354056972;22.01613350834191;78.0
2015;5;3112;0.1171146953405017;923.3771953405018;20.069175627240146;75.0
2015;5;3113;0.1116263440860215;933.7099126344086;20.736827956989245;77.0
2015;5;3114;0.1600806451612903;955.7941532258064;20.881586021505377;81.0
2015;6;3101;0.0134313900810681;912.9746205889364;16.425061546256558;80.0
2015;6;3102;0.0237962962962962;903.6979629629632;16.33773148148148;78.0
2015;6;3103;0.0109692296705509;915.5610160124928;18.13288608171692;73.0
2015;6;3104;0.0109722222222222;893.6627777777778;16.90048611111111;79.0
2015;6;3105;0.0423796553855663;929.4699379925823;18.805564344768968;73.0
2015;6;3106;0.0298148148148148;992.6042129629628;21.719305555555557;77.0
2015;6;3107;0.0690277777777777;951.6702083333332;18.53326388888889;80.0
2015;6;3108;0.0019444444444444;952.8595769831808;21.943031202791733;62.0
2015;6;3109;0.0061982109227871;926.0558774717514;20.26241054613936;65.0
2015;6;3110;0.0168055555555555;934.7001388888888;17.029583333333335;82.0
2015;6;3111;0.0580555555555555;973.8262152777778;20.994479166666665;78.0
2015;6;3112;0.0423148148148148;925.6262962962963;19.70050925925926;68.0
2015;6;3113;0.02625;935.8761805555556;20.23239583333333;70.0
2015;6;3114;0.0155555555555555;958.2036805555556;20.298125;79.0
2015;7;3101;0.0101949941577553;911.8468633524868;17.184310753797458;75.0
2015;7;3102;0.0124551971326164;902.7150089605736;17.2002688172043;73.0
2015;7;3103;0.0063898645304022;914.9087095736176;18.618508565112723;69.0
2015;7;3104;0.0064516129032258;893.2438844086022;16.909677419354836;76.0
2015;7;3105;0.0010752688172043;928.4846102150536;19.968817204301075;65.0
2015;7;3106;0.0174346639966334;992.3612099676404;21.57923305472117;76.0
2015;7;3107;0.0291666666666666;950.5975806451612;19.100268817204302;77.0
2015;7;3108;0.0038786482334869;952.5052457813032;22.050877571404047;59.0
2015;7;3109;0.000268817204301;925.1716733870968;21.021572580645163;57.0
2015;7;3110;0.028763440860215;934.0522849462366;17.20409946236559;80.0
2015;7;3111;0.0318932022985503;973.7414719918592;20.73321511362152;77.0
2015;7;3112;0.0135304659498207;924.674417562724;20.38785842293907;63.0
2015;7;3113;0.007504189359028;934.6546004398826;20.570412651864267;66.0
2015;7;3114;0.0064516129032258;957.69186827957;20.773252688172043;74.0
2015;8;3101;0.0122586088918044;913.574409965071;18.20570048713423;63.0
2015;8;3102;0.0246415770609319;902.4811827956988;17.455779569892474;69.0
2015;8;3103;0.0022641004390653;914.396457131189;19.495642025838816;61.0
2015;8;3104;0.025268817204301;892.8051747311828;17.379569892473118;71.0
2015;8;3105;0.0;928.2598133728834;20.62737377950809;55.0
2015;8;3106;0.0218637992831541;992.0760752688172;21.890232974910397;70.0
2015;8;3107;0.0319892473118279;950.5258064516128;19.576545698924733;71.0
2015;8;3108;0.0066436251920122;951.8743800969116;22.640021605285177;52.0
2015;8;3109;0.0020833333333333;924.477620967742;22.10524193548387;46.0
2015;8;3110;0.0056451612903225;933.6766129032258;17.846236559139783;75.0
2015;8;3111;0.037705524264664;973.476983949195;21.02775235392843;71.0
2015;8;3112;0.0;924.135394265233;21.445833333333336;48.0
2015;8;3113;0.0042986425339366;934.182258368608;22.2197609533888;48.0
2015;8;3114;0.0009408602150537;957.2704301075267;21.335752688172043;65.0
2015;9;3101;0.1656298994348071;910.7103376532324;20.703367726937078;68.0
2015;9;3102;0.1823148148148148;899.4043055555557;20.382314814814816;68.0
2015;9;3103;0.0697882492520375;911.1980156427318;23.13177241308161;56.0
2015;9;3104;0.0047222222222222;890.0461805555556;21.714861111111112;57.0
2015;9;3105;0.1036111111111111;932.9076388888888;24.10680555555556;56.0
2015;9;3106;0.0042361111111111;987.4697222222222;25.4565625;61.0
2015;9;3107;0.1747222222222222;946.6653472222224;21.78736111111111;73.0
2015;9;3108;3.968253968253968e-05;948.5147241539174;26.442606721563607;40.0
2015;9;3109;0.0088251429454489;921.4843249690928;26.22238593339515;38.0
2015;9;3110;0.0947222222222222;930.2126388888888;20.913194444444443;73.0
2015;9;3111;0.0020833333333333;969.9447489226156;24.643739109050028;60.0
2015;9;3112;0.1348148148148148;921.0901388888888;24.170185185185183;53.0
2015;9;3113;0.0986618181115747;931.273642887498;24.915318391670528;53.0
2015;9;3114;0.0430555555555555;953.4178472222222;25.062291666666667;60.0
2015;10;3101;0.0945132448861871;910.6209131650176;23.134717464613747;64.0
2015;10;3102;0.1204301075268817;899.5217293906811;21.862007168458774;65.0
2015;10;3103;0.1169354838709677;911.088732078853;24.6413082437276;53.0
2015;10;3104;0.0614576549588271;890.0991741921013;22.291559031245026;58.0
2015;10;3105;0.0598382597741485;924.4329340441805;25.980375781706933;51.0
2015;10;3106;0.0550403225806451;987.5022849462364;26.060853494623657;61.0
2015;10;3107;0.141263440860215;946.9280241935484;23.00409946236559;70.0
2015;10;3108;0.0241018979538849;948.1471032989792;27.834885573504568;40.0
2015;10;3109;0.0642473118279569;921.1165658602152;27.28434139784946;40.0
2015;10;3110;0.0764784946236559;930.2524193548388;22.482930107526883;67.0
2015;10;3111;0.0368279569892473;969.799563172043;25.345934139784944;60.0
2015;10;3112;0.0972222222222222;920.6490143369176;26.51236559139785;51.0
2015;10;3113;0.0890456989247311;930.783501344086;26.99203629032258;52.0
2015;10;3114;0.0891129032258064;953.4213037634408;26.074126344086014;56.0
2015;11;3101;0.3296295274443984;908.4946870104689;22.217857106727365;80.0
2015;11;3102;0.4275925925925925;897.0103703703704;21.940648148148146;77.0
2015;11;3103;0.2994088368618967;908.8607385192912;24.269636583732552;67.0
2015;11;3104;0.2620833333333333;887.6978472222222;22.99527777777778;65.0
2015;11;3105;0.1877770050996754;922.3319331440272;24.674192551383094;70.0
2015;11;3106;0.0975244836182336;983.8789845975784;27.49088875534188;62.0
2015;11;3107;0.2884722222222222;943.7290972222222;23.64097222222222;80.0
2015;11;3108;0.1835279070728963;945.8372885435458;27.49056804713233;56.0
2015;11;3109;0.2513888888888889;919.4907638888888;26.074236111111112;58.0
2015;11;3110;0.2975;933.7747222222224;23.61625;77.0
2015;11;3111;0.12453125;966.5326215277778;26.70224826388889;62.0
2015;11;3112;0.3128703703703703;919.1289814814814;24.270787037037035;72.0
2015;11;3113;0.32875;929.4001388888888;25.04663194444445;72.0
2015;11;3114;0.1708333333333333;950.3054166666668;26.64375;65.0
2015;12;3101;0.3807422767781817;912.8232809695826;22.325512756354208;81.0
2015;12;3102;0.4104838709677419;898.862007168459;21.88360215053764;76.0
2015;12;3103;0.2359905066356679;910.9691233168652;23.457346580451414;71.0
2015;12;3104;0.1954301075268817;889.6423387096773;22.208803763440866;70.0
2015;12;3105;0.2997311827956989;924.4555107526884;23.841330645161293;74.0
2015;12;3106;0.1008156543640414;984.6636939358714;27.60293228712584;62.0
2015;12;3107;0.4227150537634409;945.4986559139784;24.148521505376344;76.0
2015;12;3108;0.0770560168269574;947.8138016531808;27.5034852101259;53.0
2015;12;3109;0.1238575268817204;921.4343413978496;25.352755376344085;61.0
2015;12;3110;0.3548387096774194;935.8450268817204;23.04435483870968;79.0
2015;12;3111;0.0572168193461555;961.1954466297148;27.21955817016165;55.0
2015;12;3112;0.3080458894251122;921.0501947337228;23.642397553128443;75.0
2015;12;3113;0.2154265076195024;931.3378140873964;24.53981470426489;74.0
2015;12;3114;0.2236855815568966;952.5286968697086;26.037182701630996;69.0
2016;1;3101;0.4199880994293594;910.7357953211872;22.327215037260338;81.0
2016;1;3102;0.453673835125448;897.073028673835;21.430017921146955;79.0
2016;1;3103;0.5320025133021703;909.0517078455068;22.460176612541428;80.0
2016;1;3104;0.5704301075268817;887.8384408602151;20.86397849462366;82.0
2016;1;3105;0.4225236546147412;922.3251801282648;23.199293242866435;81.0
2016;1;3106;0.4954301075268817;985.5838037634408;25.89038978494624;75.0
2016;1;3107;0.4243279569892473;943.9780913978494;23.333938172043013;81.0
2016;1;3108;0.5891492874940639;946.9778431279918;24.86630368842749;76.0
2016;1;3109;0.4923387096774193;919.9928427419354;23.116028225806453;81.0
2016;1;3110;0.5064516129032257;927.6119623655914;22.38111559139785;80.0
2016;1;3111;0.5229797459722061;959.4518709828222;25.271713996481605;74.0
2016;1;3112;0.5633512544802867;918.7222670250898;23.473790322580644;81.0
2016;1;3113;0.6120116209176518;928.9367087841448;23.84761007313164;83.0
2016;1;3114;0.5;950.766129032258;24.848051075268813;78.0
2016;2;3101;0.3007789630364674;913.0801401120484;22.7448860911271;79.0
2016;2;3102;0.2127394636015326;899.1111590038314;22.57677203065134;73.0
2016;2;3103;0.1491858237547892;911.0928639846744;24.09276819923372;68.0
2016;2;3104;0.1533045977011494;889.8128591954023;22.08800287356322;70.0
2016;2;3105;0.136983951300498;924.9029275041504;25.06920586607637;68.0
2016;2;3106;0.0382183908045977;984.709698275862;27.811422413793103;63.0
2016;2;3107;0.2817528735632184;945.6744971264368;24.765229885057472;74.0
2016;2;3108;0.0197435032673207;948.3722694255158;26.19789070834909;64.0
