MACRORREGIAO;MUNICIPIO
3109;LAGOA GRANDE
3109;NATALANDIA
3109;PARACATU
3109;PATOS DE MINAS
3109;PRESIDENTE OLEGARIO
3109;RIACHINHO
3109;RIO PARANAIBA
3109;SANTA ROSA DA SERRA
3109;SAO GONCALO DO ABAETE
3109;SAO GOTARDO
3109;SERRA DO SALITRE
3109;TIROS
3109;UNAI
3109;URUANA DE MINAS
3109;VARJAO DE MINAS
3109;VAZANTE
3110;ABRE CAMPO
3110;ACAIACA
3110;ALVINOPOLIS
3110;CAJURI
3110;CHALE
3110;IPANEMA
3110;JEQUERI
3110;LAJINHA
3110;MANHUACU
3110;MANHUMIRIM
3110;MATIPO
3110;MUTUM
3110;PONTE NOVA
3110;RAUL SOARES
3110;RIO CASCA
3110;RIO DOCE
3110;SANTA MARGARIDA
3110;SAO PEDRO DOS FERROS
3110;TAPARUBA
3110;TEIXEIRAS
3110;URUCANIA
3110;VICOSA
3111;AGUAS FORMOSAS
3111;AGUAS VERMELHAS
3111;ALMENARA
3111;ATALEIA
3111;BANDEIRA
3111;CACHOEIRA DE PAJEU
3111;CAMPANARIO
3111;CARAI
3111;CARLOS CHAGAS
3111;CATUJI
3111;COMERCINHO
3111;DIVISA ALEGRE
3111;FELISBURGO
3111;FRANCISCOPOLIS
3111;FREI GASPAR
3111;FRONTEIRA DOS VALES
3111;ITAIPE
3111;ITAMBACURI
3111;ITINGA
3111;JACINTO
3111;JEQUITINHONHA
3111;JOAIMA
3111;JORDANIA
3111;LADAINHA
3111;MACHACALIS
3111;MALACACHETA
3111;MATA VERDE
3111;MEDINA
3111;NANUQUE
3111;NOVO CRUZEIRO
3111;OURO VERDE DE MINAS
3111;PADRE PARAISO
3111;PEDRA AZUL
3111;PESCADOR
3111;PONTO DOS VOLANTES
3111;POTE
3111;RUBIM
3111;SALTO DA DIVISA
3111;SANTA HELENA DE MINAS
3111;SANTA MARIA DO SALTO
3111;SANTO ANTONIO DO JACINTO
3111;SAO JOSE DO DIVINO
3111;SERRA DOS AIMORES
3111;SETUBINHA
3111;TEOFILO OTONI
3111;UMBURATIBA
3112;AGUA COMPRIDA
3112;ARAXA
3112;CAMPO FLORIDO
3112;CAMPOS ALTOS
3112;CARNEIRINHO
3112;COMENDADOR GOMES
3112;CONCEICAO DAS ALAGOAS
3112;CONQUISTA
3112;DELTA
3112;FRONTEIRA
3112;FRUTAL
3112;IBIA
3112;ITAPAGIPE
3112;ITURAMA
3112;LIMEIRA DO OESTE
3112;PERDIZES
3112;PIRAJUBA
3112;PLANURA
3112;PRATINHA
3112;SACRAMENTO
3112;SANTA JULIANA
3112;SAO FRANCISCO DE SALES
3112;UBERABA
3113;ABADIA DOS DOURADOS
3113;ARAGUARI
3113;ARAPORA
3113;CACHOEIRA DOURADA
3113;CAMPINA VERDE
3113;CANAPOLIS
3113;CAPINOPOLIS
3113;CENTRALINA
3113;COROMANDEL
3113;DOURADOQUARA
3113;GRUPIARA
3113;GURINHATA
3113;IPIACU
3113;ITUIUTABA
3113;MONTE ALEGRE DE MINAS
3113;MONTE CARMELO
3113;NOVA PONTE
3113;PATROCINIO
3113;PRATA
3113;SANTA VITORIA
3113;TUPACIGUARA
3113;UBERLANDIA
3114;ACUCENA
3114;BELO ORIENTE
3114;CARATINGA
3114;CORONEL FABRICIANO
3114;CORREGO NOVO
3114;DOM CAVATI
3114;ENTRE FOLHAS
3114;IMBE DE MINAS
3114;INHAPIM
3114;IPABA
3114;IPATINGA
3114;JAGUARACU
3114;JOANESIA
3114;MARLIERIA
3114;MESQUITA
3114;NAQUE
3114;PERIQUITO
3114;PIEDADE DE CARATINGA
3114;PINGO-D'AGUA
3114;SANTANA DO PARAISO
3114;TIMOTEO
3114;VARGEM ALEGRE
